Country ,Country IOS Code,Region,Population  2012 (in thousands),GDP based on PPP  2011 in dollars,GDP in current Dollars 2012 (in millions ),GDP Per Capita based on PPP  2011,GDP Per Capita in current Dollars 2011,Human Development Index (HDI) value 2012
Netherlands Antilles,NCL,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
New Caledonia,NZL,Melanesia,n/a,n/a,n/a,n/a,n/a,n/a
New Zealand,NZL,Oceania,4506.00,137610.86,171281.10,31171.76,36590.89,0.919
Nicaragua,NIC,Central America,6080.00,24228.41,10507.36,4110.81,1634.96,0.599
Niger,NER,Western Africa,17831.00,13684.76,6773.19,851.63,399.02,0.304
Nigeria,NGA,Western Africa,173615.00,511133.73,459615.93,3146.00,1520.39,0.471
Niue,NIU,Polynesia,1.00,n/a,n/a,n/a,n/a,n/a
Northern Mariana Islands,MNP,Micronesia,n/a,n/a,n/a,n/a,n/a,n/a
Norway,NOR,Northern Europe,5043.00,306487.05,500029.91,61879.07,99034.90,0.955
Oman,OMN,Western Asia,3632.00,140441.53,78110.79,42618.76,21233.87,0.731
Pakistan,PAK,Southern Asia,182143.00,788129.24,225143.27,4449.94,1254.74,0.515
Palau,PLW,Micronesia,21.00,n/a,228.42,n/a,n/a,0.791
Palestinian Territories,PSE,Western Asia,4326.00,15979.04,n/a,3832.95,2344.75,0.670
Panama,PAN,Central America,3864.00,57229.68,36252.50,15368.54,8410.77,0.780
Papua New Guinea,PNG,Melanesia,7321.00,n/a,15653.92,n/a,n/a,0.466
Paraguay,PRY,South America,6802.00,47232.66,25502.06,7192.74,3836.31,0.669
Peru,PER,South America,30376.00,327222.43,203790.27,10981.47,6065.62,0.741
Philippines,PHL,South-Eastern Asia,98394.00,543655.11,250182.02,5772.20,2379.31,0.654
Pitcairn,PCN,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Poland,POL,Eastern Europe,38217.00,838048.34,489795.49,21752.97,13381.51,0.821
Portugal,PRT,Southern Europe,10608.00,272678.03,212137.61,25671.79,22396.45,0.816
Puerto Rico,PRI,Caribbean,3667.00,n/a,101495.81,n/a,n/a,n/a
Qatar,QAT,Western Asia,2169.00,258067.71,192390.10,146520.74,97090.69,0.834
Reunion,REU,Eastern Africa,n/a,n/a,n/a,n/a,n/a,n/a
Romania,ROM,Eastern Europe,21699.00,344779.44,169396.06,16145.59,8549.16,0.786
Russian Federation,RUS,Eastern Europe,142834.00,3216934.75,2014774.94,22502.20,13297.59,0.788
Rwanda,RWA,Eastern Africa,11777.00,14628.59,7103.00,1336.80,579.19,0.434
Saint Helena,SHN,Western Africa,n/a,n/a,n/a,n/a,n/a,n/a
Saint Kitts and Nevis,KNA,Caribbean,54.00,1090.28,767.00,20582.49,13744.35,0.745
Saint Lucia,LCA,Caribbean,182.00,1773.53,1238.64,9893.04,6755.13,0.725
Saint Martin (Dutch part),MAF,Caribbean,n/a,1234.11,n/a,32972.14,25402.43,n/a
Saint Martin (French part),MAF,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
Saint Pierre and Miquelon,SPM,Northern America,n/a,n/a,n/a,n/a,n/a,n/a
Saint Vincent and the Grenadines,VCT,Caribbean,109.00,1080.78,712.59,9883.02,6190.80,0.733
Samoa,WSM,Polynesia,190.00,n/a,683.72,n/a,n/a,0.702
San Marino,SMR,Southern Europe,31.00,n/a,n/a,n/a,n/a,n/a
Sao Tome and Principe,STP,Middle Africa,193.00,513.13,263.40,3044.81,1473.28,0.525
Saudi Arabia,SAU,Western Asia,28829.00,1366703.46,711049.60,48163.46,23593.82,0.782
Senegal,SEN,Western Africa,14133.00,28638.04,14045.76,2243.03,1123.20,0.470
Serbia,SRB,Southern Europe,9511.00,86050.33,37488.94,11854.30,6027.12,0.769
Seychelles,SYC,Eastern Africa,93.00,1960.80,1128.75,22569.33,12195.96,0.806
Sierra Leone,SLE,Western Africa,6092.00,8212.33,3796.03,1369.30,490.46,0.359
Singapore,SGP,South-Eastern Asia,5412.00,374760.24,276520.03,72295.90,51241.74,0.895
